Type,Start Date,End Date,Geometry
ROAD_CLOSURE,2020-08-03T01:17:15,2020-08-03T06:16:01,"LINESTRING (103.62953 1.35335, 103.62929 1.35353)"
ROAD_CLOSURE,2020-08-03T01:17:15,2020-08-03T06:16:01,"LINESTRING (103.63695 1.34744, 103.63684 1.34734, 103.6368 1.34727, 103.63676 1.34717, 103.63669 1.34702, 103.63663 1.34694, 103.63657 1.34691)"
ROAD_CLOSURE,2020-08-03T01:17:15,2020-08-03T06:16:01,"LINESTRING (103.63695 1.34744, 103.63684 1.34734, 103.6368 1.34727, 103.63676 1.34717, 103.63669 1.34702, 103.63663 1.34694, 103.63657 1.34691)"
ROAD_CLOSURE,2020-08-03T01:17:15,2020-08-03T06:16:01,"LINESTRING (103.63695 1.34744, 103.63684 1.34734, 103.6368 1.34727, 103.63676 1.34717, 103.63669 1.34702, 103.63663 1.34694, 103.63657 1.34691)"
ROAD_CLOSURE,2020-08-03T01:17:15,2020-08-03T06:16:01,"LINESTRING (103.63695 1.34744, 103.63684 1.34734, 103.6368 1.34727, 103.63676 1.34717, 103.63669 1.34702, 103.63663 1.34694, 103.63657 1.34691)"
ROAD_CLOSURE,2020-08-03T02:17:15,2020-08-03T07:16:01,"LINESTRING (103.63695 1.34744, 103.63684 1.34734, 103.6368 1.34727, 103.63676 1.34717, 103.63669 1.34702, 103.63663 1.34694, 103.63657 1.34691)"
ROAD_CLOSURE,2020-08-03T02:17:15,2020-08-03T07:16:01,"LINESTRING (103.63695 1.34744, 103.63684 1.34734, 103.6368 1.34727, 103.63676 1.34717, 103.63669 1.34702, 103.63663 1.34694, 103.63657 1.34691)"
ROAD_CLOSURE,2020-08-03T02:17:15,2020-08-03T07:16:01,"LINESTRING (103.63695 1.34744, 103.63684 1.34734, 103.6368 1.34727, 103.63676 1.34717, 103.63669 1.34702, 103.63663 1.34694, 103.63657 1.34691)"
ROAD_CLOSURE,2020-08-03T02:17:15,2020-08-03T07:16:01,"LINESTRING (103.63695 1.34744, 103.63684 1.34734, 103.6368 1.34727, 103.63676 1.34717, 103.63669 1.34702, 103.63663 1.34694, 103.63657 1.34691)"
ROAD_CLOSURE,2020-08-03T01:56:58,2020-08-03T06:56:05,"LINESTRING (103.63434 1.34992, 103.63449 1.3498)"
ROAD_CLOSURE,2020-08-03T01:56:58,2020-08-03T06:56:05,"LINESTRING (103.62935 1.35365, 103.62959 1.35347)"
ROAD_CLOSURE,2020-08-03T01:56:58,2020-08-03T06:56:05,"LINESTRING (103.63411 1.35009, 103.63434 1.34992)"
ROAD_CLOSURE,2020-08-03T01:56:58,2020-08-03T06:56:05,"LINESTRING (103.63471 1.3496, 103.63485 1.34946, 103.63491 1.34943, 103.63531 1.3493)"
ROAD_CLOSURE,2020-08-03T00:56:59,2020-08-03T05:56:05,"LINESTRING (103.62935 1.35365, 103.62959 1.35347)"
ROAD_CLOSURE,2020-08-03T00:56:58,2020-08-03T05:56:05,"LINESTRING (103.63434 1.34992, 103.63449 1.3498)"
ROAD_CLOSURE,2020-08-03T00:56:58,2020-08-03T05:56:05,"LINESTRING (103.63411 1.35009, 103.63434 1.34992)"
ROAD_CLOSURE,2020-08-03T00:56:58,2020-08-03T05:56:05,"LINESTRING (103.63471 1.3496, 103.63485 1.34946, 103.63491 1.34943, 103.63531 1.3493)"
ROAD_CLOSURE,2020-08-03T02:17:15,2020-08-03T07:16:01,"LINESTRING (103.62953 1.35335, 103.62929 1.35353)"
ROAD_CLOSURE,2020-08-03T05:56:58,2020-08-03T10:56:05,"LINESTRING (103.63471 1.3496, 103.63485 1.34946, 103.63491 1.34943, 103.63531 1.3493)"
ROAD_CLOSURE,2020-08-03T05:56:59,2020-08-03T10:56:05,"LINESTRING (103.62935 1.35365, 103.62959 1.35347)"
